Transaction_ID,Date,Customer_Name,Product_Category,Amount_USD,Status,Customer_Email,job_provider
1044,2025-01-21,Elena S.,Consulting,2376.23,Pending,user43@example.com,Upwork
1045,2025-03-14,Elena S.,Consulting,1433.82,Completed,user44@example.com,LinkedIn
1046,2025-02-08,Catherine J.,Software License,4423.3,Cancelled,user45@example.com,
1047,2025-01-18,Elena S.,Consulting,3751.21,Cancelled,user46@example.com,Microsoft 
1048,2025-01-04,David K.,Software License,4767.71,Pending,user47@example.com,  Amazon
1049,2025-03-30,Elena S.,Cloud Storage,1687.21,Cancelled,user48@example.com,Google Inc.
1050,2025-03-01,Catherine J.,Software License,2786.19,Completed,user49@example.com,google
1051,2025-01-14,Catherine J.,Software License,2882.85,Pending,user50@example.com,LinkedIn
1052,2025-01-09,David K.,Software License,4902.64,Completed,user51@example.com,Microsoft 
1053,2025-03-31,Brian Omondi,Consulting,422.96,Completed,user52@example.com,Google Inc.
1054,2025-02-22,Brian Omondi,Consulting,1563.2,Pending,user53@example.com,Microsoft 
1055,2025-01-02,Elena S.,Software License,995.01,Completed,user54@example.com,LinkedIn
1056,2025-03-25,Alice Mwangi,Consulting,1378.95,Cancelled,user55@example.com,Indeed
1057,2025-03-01,Elena S.,Web Hosting,2452.14,Completed,user56@example.com,LinkedIn
1058,2025-03-12,David K.,Web Hosting,1894.8,Pending,user57@example.com,
1059,2025-02-13,David K.,Consulting,2003.72,Pending,user58@example.com,LinkedIn
1060,2025-01-08,David K.,Consulting,4228.86,Pending,user59@example.com,LinkedIn
1061,2025-02-16,David K.,Software License,4653.58,Completed,user60@example.com,  Amazon
1062,2025-02-04,David K.,Cloud Storage,398.56,Pending,user61@example.com,google
1063,2025-03-19,Catherine J.,Consulting,1084.15,Pending,user62@example.com,LinkedIn
1064,2025-03-22,Brian Omondi,Web Hosting,3372.16,Completed,user63@example.com,  Amazon
1065,2025-02-05,David K.,Software License,1825.3,Cancelled,user64@example.com,Google Inc.
1066,2025-02-19,Alice Mwangi,Consulting,1308.11,Completed,user65@example.com,Indeed
1067,2025-01-04,Alice Mwangi,Web Hosting,1511.69,Pending,user66@example.com,Indeed
1068,2025-01-02,Alice Mwangi,Web Hosting,1646.63,Pending,user67@example.com,LinkedIn
1069,2025-01-06,Alice Mwangi,Cloud Storage,4250.92,Completed,user68@example.com,google
1070,2025-02-23,Catherine J.,Software License,726.28,Cancelled,user69@example.com,google
1071,2025-01-04,Alice Mwangi,Software License,3559.11,Pending,user70@example.com,Google Inc.
1072,2025-02-23,David K.,Cloud Storage,2786.46,Pending,user71@example.com,LinkedIn
1073,2025-03-04,Elena S.,Cloud Storage,1517.73,Pending,user72@example.com,Indeed
1074,2025-01-18,Alice Mwangi,Software License,2127.92,Completed,user73@example.com,
1075,2025-03-31,Catherine J.,Software License,,Pending,user74@example.com,LinkedIn
1076,2025-02-13,Catherine J.,Consulting,,Cancelled,user75@example.com,Microsoft 
1077,2025-02-03,Alice Mwangi,Consulting,453.89,Pending,user76@example.com,google
1078,2025-03-15,Elena S.,Cloud Storage,75.67,Pending,user77@example.com,  Amazon
1079,2025-03-03,Alice Mwangi,Consulting,3158.08,Cancelled,user78@example.com,Microsoft 
1080,2025-01-14,Catherine J.,Web Hosting,1011.66,Pending,user79@example.com,google
1081,2025-02-17,Brian Omondi,Consulting,401.16,Completed,user80@example.com,Indeed
1082,2025-01-15,David K.,Consulting,2014.08,Completed,user81@example.com,Upwork
1083,2025-03-13,Catherine J.,Web Hosting,301.3,Completed,user82@example.com,Microsoft 
1084,2025-03-19,Alice Mwangi,Cloud Storage,4438.75,Cancelled,user83@example.com,Google Inc.
1085,2025-03-28,David K.,Web Hosting,186.7,Pending,user84@example.com,Google Inc.
1086,2025-03-03,Alice Mwangi,Consulting,2915.38,Completed,user85@example.com,Indeed
1087,2025-02-09,Alice Mwangi,Cloud Storage,,Cancelled,user86@example.com,google
1088,2025-03-26,Brian Omondi,Consulting,3376.53,Pending,user87@example.com,LinkedIn
1089,2025-03-21,David K.,Web Hosting,1674.36,Cancelled,user88@example.com,google
1090,2025-03-23,David K.,Web Hosting,817.46,Completed,user89@example.com,Indeed
1091,2025-02-22,Brian Omondi,Consulting,4910.11,Completed,user90@example.com,Google Inc.
1092,2025-01-24,Catherine J.,Software License,4202.72,Completed,user91@example.com,google
1093,2025-01-26,Alice Mwangi,Software License,,Cancelled,user92@example.com,Google Inc.
1094,2025-03-30,Elena S.,Web Hosting,1288.74,Cancelled,user93@example.com,Microsoft 
1095,2025-03-01,Alice Mwangi,Web Hosting,,Completed,user94@example.com,LinkedIn
1096,2025-02-10,Alice Mwangi,Software License,1551.16,Cancelled,user95@example.com,Microsoft 
1097,2025-01-29,Catherine J.,Software License,2708.56,Completed,user96@example.com,Google Inc.
1098,2025-01-15,Alice Mwangi,Consulting,1666.92,Completed,user97@example.com,Google Inc.
1099,2025-02-14,Brian Omondi,Consulting,4147.95,Pending,user98@example.com,Upwork
1100,2025-03-06,Brian Omondi,Software License,1394.14,Cancelled,user99@example.com,Upwork
1001,2025-02-21,Alice Mwangi,cloud storage,4288.81,Completed,user0@example.com,google
1002,2025-01-15,Alice Mwangi,cloud storage,2052.32,Cancelled,user1@example.com,Google Inc.
1003,2025-03-13,Alice Mwangi,cloud storage,4444.46,Pending,user2@example.com,Google Inc.
